0,1,2,3,4,5
Alfa Romeo,Tipo 33 Stradale,1967-1969,Coupé,Italy,Limited to 18 units
Alfa Romeo,33 Stradale,2023-present,Coupé,Italy,
Alpine,A106,1955–1961,Coupé,France,
Alpine,A108,1958-1965,Coupé,France,
Alpine,A110,"1961-1977, 2017–present",Coupé,France,
Alpine,Alpenglow,2022,Coupé,France,Concept car
Alpine,A110 R,2023,Coupé,France,Limited Production
Alpine,A310,1971–1984,Coupé,France,
AMC,AMX,1968-1970,Coupé,United States,
Apex Motors,AP-0,2022-present,Coupé,England,"Electric supercar, limited production"
Apollo,Intensa Emozione (IE),2018-2019,Coupé,Germany,Limited to 10 units
Apollo,EVO,2022-,Coupé,Germany,Limited to 10 units
Apollo,Arrow,2016,Coupé concept car,Germany,
Arash,AF8,2014–present,Coupé,England,
Arash,AF10,2008–present,Coupé,England,Model did not go into production
Arcfox,GT,2019,Electric Supercar,China,
ARES Design,Panther ProgettoUno,2019-,Coupé,Italy,Limited to 21 units
ARES Design,S Project,,Coupé,Italy,Limited to 24 units
Aria,FXE,2019,Coupé,United States,
Ariel,Atom 500 V8,2000—present,Two-seater open-body Roadster,England,Limited to 25 units
Arrinera,Hussarya,2013–Present,Coupé,Poland,
Artega,GT,2009-2012,Coupé,Germany,
Artega,Scalo Superelletra,2017,Electric Supercar,Germany,Limited to 50 units
Ascari,Ecosse,1998–1999,Coupé,England,
Ascari,KZ1,2003–present,Coupé,England,
Ascari,KZ1-R,2005–present,Coupé,England,
Ascari,A10,2006–present,Coupé,England,
Aspark,Owl,2020,Electric Supercar,Japan,Limited to 50 units
Aspid,GT-21 Invictus,2013–present,Coupé,Spain,
Aspid,IFR Aspid,2008–Present,Coupé,Spain,
Aston Martin,DB1,1948-1950,Roadster,United Kingdom,Limited to 15 units
Aston Martin,DB2,1950-1953,"Fastback, Drophead Coupé",United Kingdom,
Aston Martin,DB2/4,1953-1959,"Fastback, Coupé",United Kingdom,
Aston Martin,DB2/4 Bertone Spider,1954,Spyder,United Kingdom,Limited production
Aston Martin,DB3/ DB3S,1951-1956,Racecar,United Kingdom,
Aston Martin,DBR1,1956-1959,Roadster,United Kingdom,Track car only
Aston Martin,DB4 GT Zagato,1960-1963,Coupé,United Kingdom,Limited to 25 units
Aston Martin,DB5,1963-1965,Coupé,United Kingdom,Only 1059 cars were produced
Aston Martin,DB6,1965-1971,"Coupé, Convertible",United Kingdom,
Aston Martin,V8 Zagato,1986-1990,"Coupé, Convertible",United Kingdom,Only 89 units were produced
Aston Martin,DB7,1994-2001,Coupé,United Kingdom,
Aston Martin,DB7 Volante,1994-2001,Convertible,United Kingdom,
Aston Martin,DB7 Vantage,2001-2004,Coupé,United Kingdom,
Aston Martin,DB7 Vantage Volante,2001-2004,Convertible,United Kingdom,
Aston Martin,DB7 Zagato,2002-2003,"Coupé, Convertible",United Kingdom,Limited to 100 units
Aston Martin,DB AR1 Zagato,2003-2004,Convertible,United Kingdom,Only 100 units for the United States market
Aston Martin,V8 Vantage Le Mans,1999,Coupé,United Kingdom,Limited to 40 units
Aston Martin,Vantage,1977–present,"Coupé, Roadster",United Kingdom,
Aston Martin,V12 Zagato,2011-2013,Coupé,United Kingdom,Limited to 150 units
Aston Martin,Vantage GT8/ Vantage GT12,2015–2017,"Coupé, Roadster",United Kingdom,Limited production
Aston Martin,Vantage AMR/ AMR Pro,2017–present,Coupé,United Kingdom,Limited production
Aston Martin,V8 Vantage V600,2018,"Coupé, Roadster",United Kingdom,Only 14 units were produced
Aston Martin,V12 Vantage S,2006-present,"Coupé, Roadster",United Kingdom,
Aston Martin,V12 Speedster,2021,Speedster,United Kingdom,Limited to 88 units
Aston Martin,Valour,2024,Coupé,United Kingdom,Limited to 110 units
Aston Martin,Valiant,2025,Coupé,United Kingdom,Limited to 38 units
Aston Martin,Victor,2020,Coupé,United Kingdom,One-off bespoke built from Aston Martin's in-house Q Division
Aston Martin,One-77,2009-2012,Coupé,United Kingdom,Limited to 77 units
Aston Martin,CC100 Speedster,2013,Open-top Speedster,United Kingdom,"To celebrate its 100th anniversary, limited to two units"
Aston Martin,DB9,2004-2016,Coupé,United Kingdom,
Aston Martin,DB9 Volante,2004-2016,Convertible,United Kingdom,
Aston Martin,DB9 Spyder Zagato Centennial,2013-2014,Spyder,United Kingdom,Limited production
Aston Martin,DBS,2007-2012,Coupé,United Kingdom,
Aston Martin,DBS Volante,2007-2012,Convertible,United Kingdom,
Aston Martin,DBS Coupé Zagato Centennial,2013-2014,Coupé,United Kingdom,Limited production
Aston Martin,Virage Shooting Brake Zagato,2014,Fastback,United Kingdom,One-off model
Aston Martin,DB10,2015,Coupé,United Kingdom,A bespoke model specially developed for the James Bond film 007 Spectre
Aston Martin,DBR22,2022,Open-top Roadster,United Kingdom,"To celebrates ten years of the manufacturer's Q personalization department, only 10 units planned to produce"
Aston Martin,DBS Superleggera,2018-present,Coupé,United Kingdom,
Aston Martin,DBS Superleggera Volante,2018-present,Convertible,United Kingdom,
Aston Martin,DBS 770 Ultimate,2023-,Coupé,United Kingdom,Limited to 300 units
Aston Martin,DBS 770 Ultimate Volante,2024-,Convertible,United Kingdom,Limited to 199 units
Aston Martin,DBS GT Zagato,2020,Coupé,United Kingdom,"Only 19 units will be built, and the car will be sold in pairs with DB4 GT Zagato Continuation"
Aston Martin,DB11,2016–2024,Coupé,United Kingdom,
Aston Martin,DB11 Volante,2016–2024,Convertible,United Kingdom,
Aston Martin,DB11 AMR,2018–present,Coupé,United Kingdom,
Aston Martin,DB12,2024,Coupé,United Kingdom,
Aston Martin,DB12 Volante,2024,Convertible,United Kingdom,
Aston Martin,Rapide/ Rapide S,2010-2018,Sports Sedan,United Kingdom,
Aston Martin,Rapide AMR,2018,Sports Sedan,United Kingdom,
Aston Martin,Rapide E,2019,Electric Sports Sedan,United Kingdom,Not to be produced
Aston Martin,Vanquish,"2001–2018, 2025",Coupé,United Kingdom,
Aston Martin,Vanquish Volante,2001–2018,Convertible,United Kingdom,
Aston Martin,Vanquish Zagato,2016–2019,"Coupé, Roadster, Speedster",United Kingdom,Limited production
Aston Martin,Vanquish Zagato Shooting Brake,2019,Fastback,United Kingdom,Limited to 99 units
Aston Martin,Vulcan,2015-2016,Coupé,United Kingdom,Track car only
Aston Martin,Vulcan AMR Pro,2017–present,Coupé,United Kingdom,Track car only
Aston Martin,Valkyrie,2021-present,"Coupé, Convertible",United Kingdom,Limited to 150 units
Aston Martin,Valkyrie AMR Pro,2022,Coupé,United Kingdom,"Track car only, limited to 40 units"
Aston Martin,Valhalla,2023-present,Coupé,United Kingdom,Limited to 500 units
ATS,2500 GT,1963-1965,Coupé,Italy,
ATS,GT,2019-2020,Coupé,Italy,About 12 units are planned to produce
Audi,Quattro,1980-1991,Coupé,Germany,
Audi,Avus quattro,1991,Coupé,Germany,Concept car
Audi,S2,1991-1995,"Coupé, Avant",Germany,
Audi,S3,1999–present,"Cabriolet, Sedan, Sportback",Germany,
Audi,S4,"1991–1994, 1997–2024","Cabriolet, Sedan, Avant",Germany,
Audi,S5,2007–2024,"Coupé, Cabriolet, Sportback",Germany,
Audi,S6,1994–present,"Sedan, Avant",Germany,
Audi,S7 Sportback,2012–present,Sportback,Germany,
Audi,R8,2006-2024,"Coupé, Spyder",Germany,
Audi,R8 GT,2010-2013,"Coupé, Spyder",Germany,
Audi,R8 GT RWD,2023,Coupé,Germany,Limited to 333 units
Audi,R8 LMS Ultra,2012,Coupé,Germany,FIA GT3 Racecar
Audi,R8 V10 RMS,2017–2024,"Coupé, Spyder",Germany,
Audi,R8 LMS GT2,2019,Coupé,Germany,Racecar
Audi,RS2 Avant,1994-1995,Avant,Germany,
Audi,RS3,2015–present,"Sedan, Sportback",Germany,
Audi,RS4,"1999-2001, 2006–2008, 2012–2015, 2018–2024","Cabriolet, Sedan, Avant",Germany,
Audi,RS5,2006–2024,"Coupé, Cabriolet",Germany,
Audi,RS5 Sportback,2018–2024,Sportback,Germany,
Audi,RS6,2002–present,"Sedan, Avant",Germany,
Audi,RS7 Sportback,2003–present,Sportback,Germany,
Audi,TT,1998–2019,"Coupé, Roadster",Germany,
Audi,TT RS,2009–2019,"Coupé, Roadster",Germany,
Audi,e-tron GT/ RS e-tron GT,2021-present,4-door electric Coupé,Germany,
Austin,7,1922–1939,Roadster,England,
Austin,Atlantic,1949–1952,Roadster,England,
Austin,A40 Sports,1950-1953,Roadster,England,
Austin,Twenty,1919–1930,Roadster,England,
Austin-Healey,100,1953–1956,Roadster,England,
Austin-Healey,100-6,1956-1959,Roadster,England,
Austin-Healey,3000,1959–1967,Roadster,England,
Austin-Healey,Sprite,1958–1971,Roadster,England,
Avanti,Avanti,1965-2006,"Coupé, Convertible",United States,Successor to Studebaker Avanti
B Engineering,Edonis,2001-2006,Coupé,Italy,
Briggs Automotive Company,BAC Mono,2011–present,Single seater sports car,England,
Bentley,Hunaudières,1999,Coupé,United Kingdom,Concept car
Bentley,Continental T,1996-2003,Coupé,England,
Bentley,Continental GT,2003–present,"Coupé, Convertible",England,
Bentley,Continental GT3-R,2014-2015,Coupé,England,About 300 units to be produced
Bentley,Continental GT Z,2012,Coupé,England,"Limited production, designed and built by Zagato"
Bentley,Continental Supersports,2013–2018,"Coupé, Convertible",England,
Bentley,Mulliner Bacalar,2021,Open-top Roadster,England,Limited to 12 units
Bentley,Mulliner Batur,2023,Coupé,England,Limited to 18 units
Bentley,Batur Convertible,2025,Convertible,England,Limited to 16 units
Bentley,Speed 8,2001-2003,Coupé,England,Racecar
Bermat,GT-Pista,2022,Coupè,Italy,
Bertone,GB110,2024,Coupé,Italy,"The world's first hypercar that will be able to use fuel made out of plastic waste, limited to 33 units"
Bizzarrini,P538/ P538S,1965-1966,Racecar,Italy,
Bizzarrini,5300 GT Strada,1965-1968,Coupé,Italy,Limited to 133 units
BMW,3/15,1927-1930,Roadster,Germany,
BMW,315/1,1934–1937,Roadster,Germany,
BMW,319/1,1935-1936,Roadster,Germany,
BMW,328,1936–1940,Roadster,Germany,
BMW,507,1956–1959,Roadster,Germany,
BMW,3.0 CSL,1972–1975,Coupé,Germany,"Limited to 1,265 units"
BMW,3.0 CSL,2023,Coupé,Germany,Limited to 50 units
BMW,Nazca C2,1991,Coupé,Germany,Concept car designed by Italdesign-Giugiaro
BMW,M Roadster,1998–2002,Roadster,Germany,
BMW,M1,1978-1991,Coupé,Germany,
BMW,1 Series M Coupé,2011–2012,Coupé,Germany,
BMW,M2,2014–present,Coupé,Germany,
BMW,M2 Competition,2018–present,Coupé,Germany,
BMW,M2 CS,2020-,Coupé,Germany,
BMW,M3,1985–present,Sports Sedan,Germany,Coupe and Convertible no longer part of the 3 series
BMW,M3 Competition,2021-,"Sports Sedan, Touring",Germany,
BMW,M3 CSL (E46),2003-2004,Coupé,Germany,Limited production
BMW,M3 GTS,2010-2011,Coupé,Germany,Limited production
BMW,M4,2014–present,"Coupé, Convertible",Germany,
BMW,M4 Competition,2021-present,"Coupé, Convertible",Germany,
BMW,M4 CS (F82),2017–present,Coupé,Germany,Limited production
BMW,M4 GTS (F82),2016–present,Coupé,Germany,Limited to 700 units
BMW,M4 CSL (G82),2022-,Coupé,Germany,Limited production
BMW,M535i (E12),1979–1981,Sports Sedan,Germany,Limited Production
BMW,M5,1985–present,"Sports Sedan, Touring",Germany,
BMW,M5 CS,2021,Sports Sedan,Germany,Limited production
BMW,M5 Competition,2018-,Sports Sedan,Germany,
BMW,635CSi (E24),1976-1989,Coupé,Germany,
BMW,6 Series,2003-2018,"Coupé, Convertible",Germany,
BMW,6 Series Gran Coupé (F06),2011-2018,4-door Coupé,Germany,
BMW,M6,"1983-1989, 2005–2010, 2012–2018","Coupé, Convertible",Germany,
BMW,M6 Gran Coupé,2012-2018,4-door Coupé,Germany,
BMW,8 Series (E31),1990-1999,Coupé,Germany,
BMW,8 Series (G15),2018–present,"Coupé, Convertible",Germany,
BMW,8 Series Gran Coupé,2019-,4-door Coupé,Germany,
BMW,M8 GTE,2019–present,Coupé,Germany,Track car only
BMW,M8/ Competition,2019-present,"Coupé, Convertible",Germany,
BMW,M8 Gran Coupé/ Competition,2020-present,4-door Coupé,Germany,
BMW,i8,2014-2020,"Coupé, Roadster",Germany,Electric sports car
BMW,Z1,1989-1991,Roadster,Germany,
BMW,Z3,1996–2002,Roadster,Germany,
BMW,Z4,2002–present,"Roadster, Coupé",Germany,
BMW,Z8,1999–2003,Roadster,Germany,
Brabham,BT62,2018-2024,Coupé,Australia,Track car only
Bristol,Fighter T,2004–2011,Coupé,United Kingdom,
Buckle,Sports Coupe,1957–1959,Coupe,Australia,
Bugatti,Type 13,1910-1920,Roadster,France,
Bugatti,Type 18,1912-1914,Roadster,France,
Bugatti,Type 55,1932-1935,Roadster,France,
Bugatti,Type 57SC Gangloff Atalante,1936-1938,Coupé,France,
Bugatti,Type 252,1957-1962,Roadster,France,
Bugatti,EB110 GT,1991–1995,Coupé,France/ Italy,
Bugatti,EB110 Supersport,1992–1995,Coupé,France/ Italy,Limited to 30 units
Bugatti,EB 112,1993,4-door Fastback,France,"Limited production, road legal concept car"
Bugatti,Centodieci,2019,Coupé,France,Limited to 10 units
Bugatti,16C Galibier,2009,4-door Fastback,France,Concept car
Bugatti,Veyron EB 16.4,2005-2011,"Coupé, Targa",France,
Bugatti,Veyron Grand Sport,2009-2015 (all versions),Targa,France,
Bugatti,Veyron Supersport,2010-2011,Coupé,France,Limited to 48 units
Bugatti,Veyron Vitesse,2011-2015 (all versions),Targa,France,
Bugatti,Chiron,2016–2024,Coupé,France,Limited to 500 units
Bugatti,Chiron Sport,2018-2024,Coupé,France,
Bugatti,Chiron Pur Sport,2020–2024,Coupé,France,Limited production
Bugatti,Chiron Profilée,2022,Coupé,France,One-off model
Bugatti,Chiron Super Sport,2021-2024,Coupé,France,Limited to 30 units
Bugatti,Divo,2018-2022,Coupé,France,Limited to 40 units
Bugatti,W16 Mistral,2024,Roadster,France,Limited to 99 units
Bugatti,La Voiture Noire,2019,Coupé,France,One-off model and is the most expensive new car (above $18 million) in the world
Bugatti,Bolide,2024,Coupé,France,"Limited to 40 units, the most extreme, lightweight, track-focused hypercar"
Bugatti,Tourbillon,2026,Coupé,France,Limited to 250 units
Buick,Reatta,1988–1991,Roadster,United States,
Cadillac,Cien,2002,Coupé,United States,Concept car
Cadillac,XLR,2003–2009,Roadster,United States,
Calafiore,C10 Astrea,2017,Roadster,Italy,
Callaway,C12,1997-2001,"Coupe, Roadster",United States,"Limited production, based on Chevrolet Corvette Z06 (C5)"
Callaway,C16,2007-2013,"Coupe, Roadster",United States,"Limited production, based on Chevrolet Corvette (C6)"
Caparo,T1,2008–Present,Roadster,England,
Caterham,21,1994-2001,Roadster,England,
Caterham,7,1973—present,Roadster,England,
Caterham,620R,2013—present,Roadster,England,
Caterham,Project V,2023,Coupe,England,
CG,1300,1972-1974,Coupé,France,
Chevrolet,Camaro,"1967–2002, 2010–2024","Coupé, Convertible",United States,
Chevrolet,Corvette,1953–present(all versions),"Roadster, Coupé",United States,
Chevrolet,Corvette Z06,2000–present,"Roadster, Coupé",United States,
Chevrolet,Corvette ZR1,"1990-1996, 2009–present","Roadster, Coupé",United States,
Chevrolet,Calibra,1989–1997,Coupé,United States,
Chrysler,Conquest,1987–1989,Coupé,United States,
Chrysler,Viper,1996–2002,"Roadster, Coupé",United States,Sold only in Europe
Chrysler,Prowler,1997-2002,Roadster,United States,Luxury variant of the Plymouth version
Chrysler,Crossfire,2003–2007,"Roadster, Coupé",United States,
Chrysler,ME Four-Twelve,2004,Coupé,United States,Concept car
Cizeta,Moroder V16T,1991–present,"Roadster, Coupé",Italy,
Clan,Crusader,"1971-1974, 1982-1987",Coupé,England/Northern Ireland,
Corwin,Getaway,1969,Coupé,United States,"Single prototype, now in collection of the Petersen Automobile Museum"
Covini,C6W,2004–2006,Coupe,Italy,
Czinger,21C,2021-present,Coupé,United States,"World's first 3D-printed hybrid hypercar, limited to 80 units"
Daewoo,G2X,2006–2009,Roadster,South Korea,
Daewoo,Speedster,2000–2005,Roadster,England,
Dallara,Stradale,2017–present,Roadster,Italy,
David Brown Automotive,Speedback GT,2014–present,Coupé,United Kingdom,
DC Design,DC Avanti,2012–present,Coupé,India,
Delage,D12,2021,Coupé,France,Limited production
Dendrobium Automotive,D-1,2018,Coupé,United Kingdom,Concept car
De Macross,Epique GT1,2011,Coupé,Canada,
De Tomaso,Vallelunga,1964-1967,Coupé,Italy,
De Tomaso,Mangusta,1966-1971,Coupé,Italy,
De Tomaso,Pantera,1971-1992,Coupé,Italy,
De Tomaso,Guarà,1994-2004,"Coupé, Spyder",Italy,
De Tomaso,P72,2019-present,Coupé,Italy,"Each of the 72 units will cost approximately US$845,000"
De Tomaso,P900,2023,Coupé,Italy,"Track car only, limited to 18 units"
Deus Automobiles,Vayanne,2025,Coupé,Austria,Limited to 99 units
Devel,Sixteen,2022,Coupé,United Arab Emirates,Concept car
Devon,Devon GTX,2009,Coupé,United States,"Limited to two, based on Dodge Viper. The company was discontinued in 2013"
Dodge,Charger,"1966-1978, 1982-1987, 2006-2024",Coupé/Sedan,United States,Also a muscle car
Dodge,Challenger,"1958-1959, 1969–1974, 1978–1983, 2008–2024",Coupé,United States,Also a muscle car
Dodge,Conquest,1984-1986,Coupé,United States,North America only
Dodge,Stealth,1991-1996,Coupé,Japan,"American Market Version of the Mitsubishi GTO, Became Badged as the 3000GT in America between 1996 and 2000"
Dodge,Super Bee,1968-1971,Coupé,United States,Dodge counterpart to Plymouth Road Runner
Dodge,Viper,1992-2017,"Coupé, Roadster",United States,SRT continued to use the viper
Donkervoort,D8 GT,2007-2012,Coupé,Dutch,
Donkervoort,D8 GTO,2013–present,Roadster,Dutch,
Donkervoort,D8 GTO RS,2016–present,Roadster,Dutch,
Donkervoort,D8 GTO-JD70,2019–present,Roadster,Dutch,"Limited to 70 units, the world's first 2G super sports car"
Donkervoort,F22,2023,Targa top,Dutch,Limited to 75 units
Drako,GTE,2020-,Electric Sports Sedan,United States,Limited production
DSD Design,Boreas,2017,Coupé,Spain,
Eadon Green,Zeclat,2018–present,Coupé,United Kingdom,
Eccentrica,Eccentrica V12,2024,Coupé,Italy,"Lamborghini Diablo restomod, limited to 19 units"
Elemental,RP1,2014–present,Roadster,United Kingdom,
Elfin Sports Cars,MS8 Streamliner,2006–present,Roadster,Australia,
Etox,Zafer,2006–present,Roadster,Turkey,
Factory Five Racing,GTM,2006–2009,Coupé,United States,
Factory Five Racing,F9R,,Coupé,United States,
Falcon,F7,2012–2017,Coupé,United States,
Felino,CB7R,2020,Coupé,Canada,
Ferrari,125 S,1947,Roadster,Italy,
Ferrari,159 S,1947,Roadster,Italy,
Ferrari,166 S,1948-1953,Roadster,Italy,Limited to 39 units
Ferrari,166 Spyder Corsa,1948,Spyder,Italy,
Ferrari,166 MM,1948-1950,Racecar,Italy,
Ferrari,166 Inter Stabilimenti Farina Cabriolet,1949-1950,Cabriolet,Italy,
Ferrari,166 F2,1948-1951,Racecar,Italy,
Ferrari,195 S,1950,Roadster,Italy,
Ferrari,212 Inter,1951,Coupé,Italy,
Ferrari,212 Export,1951,"Coupé, Spyder, Cabriolet",Italy,
Ferrari,225 S,1952,Roadster,Italy,
Ferrari,250 Europa,1953-1954,Coupé,Italy,Limited production
Ferrari,250 MM Vignale Spyder,1953-1954,Roadster,Italy,
Ferrari,250 MM Pinin Farina Berlinetta,1953-1954,Coupé,Italy,
Ferrari,250 GT Boano Coupé,1955-1956,Coupé,Italy,
Ferrari,250 GT Zagato Coupé,1956-1957,Coupé,Italy,
Ferrari,250 GT Pininfarina,1958-1960,"Coupé, Cabriolet",Italy,
Ferrari,250 GT Berlinetta SWB,1961-1963,Coupé,Italy,
Ferrari,250 GT California Spyder SWB,1960-1963,Roadster,Italy,
Ferrari,250 GT Berlinetta Lusso,1962-1964,Coupé,Italy,
Ferrari,250 Testa Rossa,1957-1961,Open-top Roadster,Italy,Racecar
Ferrari,250 GTO,1962-1964,Coupé,Italy,
Ferrari,250 LM,1963,Coupé,Italy,
Ferrari,275 GTB/ 275 GTS,1964-1966,"Roadster, Coupé",Italy,
Ferrari,275 GTS/4 NART Spyder,1966-1968,Roadster,Italy,
Ferrari,330 TRI/LM,1962,Roadster,Italy,Le Mans Racecar
Ferrari,330 America,1963,Coupé,Italy,
Ferrari,330 GT LM Berlinetta,1963,Coupé,Italy,Racecar
Ferrari,330 GT 2+2,1964-1967,Coupé,Italy,
Ferrari,330 GT Navarro Speciale by Drogo,1966,Coupé,Italy,One-off model
Ferrari,330 GT by Michelotti,1967,Coupé,Italy,One-off model
Ferrari,330 GTC/ GTS,1966–1968,"Coupé, Spyder",Italy,
Ferrari,330 GTC Zagato,1974,Coupé,Italy,One-off model
Ferrari,340/342 America,1950-1952,"Spyder, Coupé",Italy,
Ferrari,375 America,1953-1954,"Spyder, Coupé",Italy,
Ferrari,375 MM Spider Pinin Farina,1953-1954,Spyder,Italy,
Ferrari,375 MM Scaglietti Coupé Speciale,1954,Coupé,Italy,One-off model
Ferrari,375 MM Berlinetta Sport Speciale Pinin Farina,1955,Coupé,Italy,
Ferrari,410 Superamerica,1955-1959,"Spyder, Coupé",Italy,
Ferrari,410 Superfast Pinin Farina Coupe Speciale,1956,Coupé,Italy,Limited production
Ferrari,400 Superamerica,1959-1964,"Coupé, Cabriolet",Italy,
Ferrari,400 Superamerica Pinin Farina Coupe Speciale,1959,Coupé,Italy,
Ferrari,500 Superfast,1964-1966,Coupé,Italy,Limited production
Ferrari,500 Mondial,1953-1955,Spyder,Italy,
Ferrari,625 TF,1953,,Italy,Ferrari's first four-cylinder closed-wheel sports racer
Ferrari,625 LM Touring Spyder,1956,Coupé,Italy,
Ferrari,625 TRC Scaglietti Spider,1957,Roadster,Italy,Limited to two units
Ferrari,750 Monza,1954-1955,Coupé,Italy,
Ferrari,860 Monza,1956,Coupé,Italy,
Ferrari,500 TRC,1956-1957,,Italy,
Ferrari,350 Can-Am,1967,Speedster,Italy,
Ferrari,365 California,1966-1967,Roadster,Italy,
Ferrari,365 GTB/4 Daytona,1968-1973,Coupé,Italy,
Ferrari,365 GT4 BB,1973–1976,Coupé,Italy,
Ferrari,512 S,1970,Targa,Italy,Racecar
Ferrari,512 BB/ 512 BBi,1976–1984,Coupé,Italy,
Ferrari,412,1985-1989,Coupé,Italy,
Ferrari,246 GT/246 GTS Dino,1969-1974,Roadster,Italy,
Ferrari,208 GT4,1975-1980,Coupé,Italy,
Ferrari,208 GTB/GTS,1980-1981,Coupé,Italy,
Ferrari,288 GTO,1983-1987,Coupé,Italy,
Ferrari,288 GTO Evoluzione,1986,Coupé,Italy,Limited to five units
Ferrari,308 GT4 Dino,1973-1980,Coupé,Italy,
Ferrari,308 GTB/GTS,1975-1985,"Roadster, Coupé",Italy,
Ferrari,328 GTB/GTS,1985-1989,"Roadster, Coupé",Italy,
Ferrari,Mondial,1980-1993,"Coupé, Cabriolet",Italy,
Ferrari,F40,1987-1992,Coupé,Italy,First production car to reach past 200 mph and was world's fastest car from 1987 to 1990
Ferrari,F40 LM,1989-1994,Coupé,Italy,Only 19 units produced
Ferrari,F40 LM Barchetta,1989,Speedster,Italy,One-off model
Ferrari,333 SP,1993-1995,Open-top Roadster,Italy,Racecar
Ferrari,348,1989-1995,"Coupé, Targa",Italy,
Ferrari,348 Spider,1992-1995,Convertible,Italy,
Ferrari,348 GT Competizione,1993,Coupé,Italy,Track car only
Ferrari,F355,1994-1999,"Coupé, Convertible",Italy,
Ferrari,360 Modena,1999-2005,"Roadster, Coupé",Italy,
Ferrari,360 Challenge Stradale,2003,Coupé,Italy,
Ferrari,360 N-GT,2002,Coupé,Italy,This racing car tuned by Michelotto for the N-GT category of the FIA GT Championship
Ferrari,Testarossa,1984-1991,Coupé,Italy,
Ferrari,Testarossa Spider,1986,Convertible,Italy,One-off model
Ferrari,Mythos,1989,Open-top Roadster,Italy,Concept car
Ferrari,512 TR,1991–1994,Coupé,Italy,
Ferrari,512 TR Spider,1993–1994,Convertible,Italy,Limited to three units
Ferrari,FZ93,1993-1994,Coupé,Italy,Limited production
Ferrari,F512 M,1992-1996,Coupé,Italy,
Ferrari,FX,1995,Coupé,Italy,"One-off model, custom made for the 29th Sultan of Brunei"
Ferrari,F50,1995-1997,Targa,Italy,Only 349 units were produced
Ferrari,456 GT,1992-1997,Coupé,Italy,
Ferrari,456M GTA,1998-2002,Coupé,Italy,
Ferrari,550 Maranello,1996–2001,Coupé,Italy,
Ferrari,550 Barchetta Pininfarina,2001,Roadster,Italy,
Ferrari,550 GTZ,2009,Roadster,Italy,Limited to five units
Ferrari,575M Maranello,2002-2006,Coupé,Italy,
Ferrari,575 GTC,2004,Coupé,Italy,Racecar
Ferrari,Superamerica,2005-2006,Roadster,Italy,
Ferrari,575 GTZ,2006,Coupé,Italy,One-off model restyled and redesigned by Zagato
Ferrari,F430,2004-2009,"Roadster, Coupé",Italy,
Ferrari,F430 Challenge,2006,Coupé,Italy,
Ferrari,F430 GT3,2006,Coupé,Italy,Racecar
Ferrari,430 Scuderia,2007-2009,Coupé,Italy,
